Attribute_1,Attribute_2,Attribute_3,Attribute_4,Attribute_5,Attribute_6,Attribute_7,Attribute_8,Attribute_9,Attribute_10,Attribute_11,Attribute_12,Attribute_13,Attribute_14,Class
0.862261341,0.936912434,0.99890032,0.006640044,0.0022641560000000002,0.667830795,257.9059406,222.38232200000002,0.787147374,0.9916260309999999,191.96277680000003,1.343520576,0.743494619,39169,4
0.7036232240000001,0.815108739,0.988145417,0.006714854,0.001015259,0.865432761,382.995112,269.48425539999994,0.6110212429999999,0.9872263090000001,191.8901584,1.99590805,0.495085641,57775,1
0.8911554209999999,0.965224912,0.998161263,0.006695993000000001,0.002605005,0.605794808,239.43532050000002,213.3740838,0.745890697,0.991927654,190.49975039999998,1.25687997,0.794157984,36049,4
0.679816263,0.789173955,0.9948306809999999,0.007486286,0.000986308,0.88554607,368.0108409,250.1797545,0.623199797,0.9829437520000001,170.9600126,2.152613558,0.462150151,50011,1
0.8108241559999999,0.8672286990000001,0.995027746,0.005198135,0.001385907,0.7506315,372.57113250000003,302.089674,0.674572475,0.9878711029999999,246.1656028,1.513497939,0.657435812,72554,3
0.832862395,0.905837595,0.993495687,0.006459515,0.0019172229999999998,0.7159016979999999,284.1605096,236.66660269999997,0.830614403,0.9887839959999999,198.401177,1.432252136,0.69365977,44490,0
0.9104698390000001,0.97123749,0.9993527040000001,0.006323561,0.002680425,0.558518217,242.89428840000002,221.14792369999998,0.766273665,0.992352804,201.47893100000002,1.205556766,0.8289553279999999,38707,4
0.8237717370000001,0.794581291,0.99587054,0.0051120490000000005,0.001452119,0.731898426,367.0297945,302.3487714,0.6953569909999999,0.983210769,250.0991472,1.467537169,0.678599875,73023,3
0.76100187,0.843457393,0.98463426,0.005362629,0.0011094310000000001,0.808743587,409.9783474,311.9942891,0.753004097,0.979249657,241.1334312,1.700213634,0.579123846,78071,2
0.696244896,0.807674695,0.995330807,0.0070351369999999995,0.001019766,0.873384685,373.34770560000004,259.9414346,0.597005355,0.9874955809999999,181.8319054,2.0532574009999998,0.484756956,53741,1
0.7475341459999999,0.865837327,0.9961510240000001,0.00686704,0.001322737,0.827838539,331.80161749999996,248.0330388,0.6865302640000001,0.9904679909999999,186.129574,1.782637817,0.558807299,48783,0
